[2022-12-22.20:39:23]: Initializing Log
[2022-12-22.20:39:23]: Loading settings.cfg...
[2022-12-22.20:39:23]: Settings.cfg loaded
[2022-12-22.20:39:23]: VSync is enabled
[2022-12-22.20:39:24]: Infinite bullet time is disabled
[2022-12-22.20:39:24]: Bullets do not collide with each other
[2022-12-22.20:39:24]: Bullets last for 10 seconds
[2022-12-22.20:39:25]: FPS: 131
[2022-12-22.20:39:26]: FPS: 138
[2022-12-22.20:39:27]: FPS: 146
[2022-12-22.20:39:28]: FPS: 146
[2022-12-22.20:39:29]: FPS: 146
[2022-12-22.20:39:30]: FPS: 146
[2022-12-22.20:39:31]: FPS: 146
[2022-12-22.20:39:32]: FPS: 147
[2022-12-22.20:39:33]: FPS: 146
[2022-12-22.20:39:34]: FPS: 146
[2022-12-22.20:39:35]: FPS: 146
[2022-12-22.20:39:36]: FPS: 147
[2022-12-22.20:39:37]: FPS: 146
[2022-12-22.20:39:38]: FPS: 144
[2022-12-22.20:39:39]: FPS: 142
[2022-12-22.20:39:40]: FPS: 147
[2022-12-22.20:39:41]: FPS: 146
[2022-12-22.20:39:42]: FPS: 146
[2022-12-22.20:39:43]: FPS: 146
[2022-12-22.20:39:44]: FPS: 147
[2022-12-22.20:39:45]: FPS: 146
[2022-12-22.20:39:46]: FPS: 146
[2022-12-22.20:39:47]: FPS: 146
[2022-12-22.20:39:48]: FPS: 147
[2022-12-22.20:39:49]: FPS: 146
[2022-12-22.20:39:50]: FPS: 146
[2022-12-22.20:39:51]: FPS: 146
[2022-12-22.20:39:52]: FPS: 147
[2022-12-22.20:39:53]: FPS: 146
[2022-12-22.20:39:54]: FPS: 146
[2022-12-22.20:39:55]: FPS: 146
[2022-12-22.20:39:56]: FPS: 147
[2022-12-22.20:39:57]: FPS: 146
[2022-12-22.20:39:58]: FPS: 146
[2022-12-22.20:39:59]: FPS: 145
[2022-12-22.20:40:00]: FPS: 147
[2022-12-22.20:40:01]: FPS: 146
[2022-12-22.20:40:02]: FPS: 146
[2022-12-22.20:40:03]: FPS: 146
[2022-12-22.20:40:04]: FPS: 146
[2022-12-22.20:40:05]: FPS: 147
[2022-12-22.20:40:06]: FPS: 146
[2022-12-22.20:40:07]: FPS: 146
[2022-12-22.20:40:08]: FPS: 146
[2022-12-22.20:40:09]: FPS: 147
[2022-12-22.20:40:10]: FPS: 146
[2022-12-22.20:40:11]: FPS: 146
[2022-12-22.20:40:12]: FPS: 146
[2022-12-22.20:40:13]: FPS: 147
[2022-12-22.20:40:14]: FPS: 146
[2022-12-22.20:40:16]: FPS: 144
[2022-12-22.20:40:17]: FPS: 146
[2022-12-22.20:40:18]: FPS: 147
[2022-12-22.20:40:19]: FPS: 146
[2022-12-22.20:40:20]: FPS: 146
[2022-12-22.20:40:21]: FPS: 146
[2022-12-22.20:40:22]: FPS: 147
[2022-12-22.20:40:23]: FPS: 146
[2022-12-22.20:40:24]: FPS: 146
[2022-12-22.20:40:25]: FPS: 146
[2022-12-22.20:40:26]: FPS: 147
[2022-12-22.20:40:27]: FPS: 146
[2022-12-22.20:40:28]: FPS: 146
[2022-12-22.20:40:29]: FPS: 146
[2022-12-22.20:40:30]: FPS: 147
[2022-12-22.20:40:31]: FPS: 146
[2022-12-22.20:40:32]: FPS: 146
[2022-12-22.20:40:33]: FPS: 146
[2022-12-22.20:40:34]: FPS: 147
[2022-12-22.20:40:35]: FPS: 146
[2022-12-22.20:40:36]: FPS: 146
[2022-12-22.20:40:37]: FPS: 146
[2022-12-22.20:40:38]: FPS: 147
[2022-12-22.20:40:39]: FPS: 146
[2022-12-22.20:40:40]: FPS: 146
[2022-12-22.20:40:41]: FPS: 146
[2022-12-22.20:40:42]: FPS: 147
[2022-12-22.20:40:43]: FPS: 146
[2022-12-22.20:40:44]: FPS: 146
[2022-12-22.20:40:45]: FPS: 146
[2022-12-22.20:40:46]: FPS: 147
